iter	Logloss	Accuracy
0	0.655244273	0.8100153557
1	0.6217589647	0.8115509299
2	0.5954226422	0.8114656202
3	0.5689866339	0.8112950009
4	0.5479082887	0.8092902235
5	0.5279578493	0.8114656202
6	0.5102453916	0.8092902235
7	0.4953426415	0.8069442075
8	0.4839045692	0.8067309333
9	0.4725214641	0.8070295171
10	0.4613806545	0.8066456236
11	0.4513702792	0.8063470398
12	0.4427873988	0.8065176591
13	0.436639008	0.806816243
14	0.4294591122	0.8066456236
15	0.4230983319	0.8066029688
16	0.418551789	0.8066029688
17	0.4130994867	0.8076266849
18	0.4090697962	0.8101006654
19	0.4057877451	0.806816243
20	0.4023240519	0.8067735881
21	0.3986266999	0.8067735881
22	0.3958106706	0.8066456236
23	0.3930972133	0.8099727009
24	0.3908576824	0.8101433203
25	0.3881796106	0.8106125235
26	0.3864888834	0.8125319911
27	0.3846732823	0.8129585395
28	0.3826627347	0.8129158847
29	0.3810083167	0.8132144685
30	0.3795281808	0.8135557072
31	0.3781947884	0.8135983621
32	0.3773245514	0.8131291588
33	0.3761825232	0.8138116362
34	0.3755536254	0.8142808394
35	0.3746494565	0.8144514588
36	0.374173752	0.8138116362
37	0.3733125598	0.8141102201
38	0.3726036908	0.8143661491
39	0.3718451809	0.8148780072
40	0.3710573439	0.815176591
41	0.3704368487	0.8151339362
42	0.3697425313	0.8154751749
43	0.3691939379	0.8154751749
44	0.3689697054	0.8159017233
45	0.368527704	0.8159870329
46	0.3681882359	0.8159017233
47	0.3678831209	0.8160723426
48	0.3674507997	0.8163282716
49	0.3670890609	0.8164562361
50	0.3666856991	0.816242962
51	0.3663414934	0.8164135813
52	0.3660431202	0.816242962
53	0.365553021	0.8161576523
54	0.3652823014	0.8161576523
55	0.3650491357	0.816242962
56	0.3648263923	0.8161576523
57	0.3646187458	0.816242962
58	0.3642286617	0.8161149974
59	0.3640306585	0.8160296878
60	0.3638665164	0.816242962
61	0.3636240603	0.8161149974
62	0.3634569645	0.8164562361
63	0.3632720205	0.8165842006
64	0.3631251518	0.8166268555
65	0.3629042994	0.8164135813
66	0.3628002271	0.8165842006
67	0.3626189771	0.8165415458
68	0.3624925658	0.816498891
69	0.3623058055	0.8168827845
70	0.3621247446	0.8168827845
71	0.3620456439	0.8167974748
72	0.3618641194	0.8171387135
73	0.3617783143	0.8172240232
74	0.3616318437	0.8172240232
75	0.3614368237	0.8172240232
76	0.3613006006	0.8170960587
77	0.3612083021	0.8171387135
78	0.3611324358	0.8171387135
79	0.3610209691	0.817010749
80	0.3608863813	0.8169254393
81	0.360777841	0.8168827845
82	0.3606573382	0.8166268555
83	0.3605309613	0.8170534039
84	0.3604227828	0.8170534039
85	0.3603205135	0.8167974748
86	0.3602148631	0.8171813684
87	0.3601559286	0.8171813684
88	0.3600395763	0.8173519877
89	0.3599239647	0.8171813684
90	0.3598638527	0.8173093329
91	0.3598020424	0.8173519877
92	0.3596429605	0.8173093329
93	0.3595610076	0.8173093329
94	0.3594350166	0.8173519877
95	0.3593430493	0.8173519877
96	0.3592892883	0.8173519877
97	0.359160375	0.8175652619
98	0.3591028121	0.8176079167
99	0.3590126411	0.8176079167
100	0.3589641082	0.8176079167
101	0.3588949484	0.8176505716
102	0.3588388003	0.8176505716
103	0.3587696724	0.8176505716
104	0.3586367861	0.8181624296
105	0.3585531714	0.8181624296
106	0.3585343349	0.8181624296
107	0.3584952224	0.8182477393
108	0.3584349369	0.8182477393
109	0.3583695029	0.8182477393
110	0.3583093075	0.8182477393
111	0.3582489089	0.8182050845
112	0.3581589963	0.8182477393
113	0.3581061269	0.8182903941
114	0.3580797283	0.8182903941
115	0.3579045497	0.8182903941
116	0.3578324069	0.8182903941
117	0.3577615641	0.8182477393
118	0.3576874984	0.8182903941
119	0.3575919383	0.818333049
120	0.3575149296	0.8182903941
121	0.3574741207	0.8183757038
122	0.3574356406	0.8183757038
123	0.3573232584	0.8184183586
124	0.3572946195	0.8183757038
125	0.3571767618	0.818333049
126	0.3571150109	0.8185463232
127	0.3570638791	0.8184610135
128	0.3570226395	0.8184183586
129	0.357001451	0.8185036683
130	0.3569804726	0.8185036683
131	0.3569295109	0.8186316328
132	0.3568931681	0.8187169425
133	0.3568117198	0.8186742877
134	0.3567716286	0.8186742877
135	0.3567312836	0.8186316328
136	0.3566766353	0.8186316328
137	0.3566151603	0.8187169425
138	0.3565421627	0.8187595973
139	0.3564696105	0.8187169425
140	0.3564208737	0.8186742877
141	0.3563665002	0.8186316328
142	0.3563275109	0.8186316328
143	0.3562492954	0.8186742877
144	0.3561935787	0.8187169425
145	0.3561618404	0.8187169425
146	0.3560859728	0.818844907
147	0.3560386717	0.818844907
148	0.3559838431	0.8188022522
149	0.3559266535	0.8188875618
150	0.3558366177	0.8189302167
151	0.3557947426	0.8189302167
152	0.3557538131	0.8189302167
153	0.3557154014	0.8189302167
154	0.3556739734	0.8189728715
155	0.3556218881	0.8189728715
156	0.3555905108	0.8189728715
157	0.3555141015	0.818844907
158	0.3554757678	0.8188022522
159	0.3554038105	0.8188022522
160	0.3553309416	0.818844907
161	0.3552815844	0.8189302167
162	0.3552183505	0.8189302167
163	0.3551693884	0.819100836
164	0.3551591137	0.8191434909
165	0.3550855786	0.8193994199
166	0.3550550632	0.8192714554
167	0.3550080091	0.8190581812
168	0.3549487573	0.8192714554
169	0.3549193193	0.819100836
170	0.3549184236	0.8192714554
171	0.3548500265	0.8191861457
172	0.3548420721	0.8191861457
173	0.3548166046	0.8191434909
174	0.3546965701	0.8191434909
175	0.3546657313	0.8191861457
176	0.3546185872	0.8189728715
177	0.3545876459	0.8189728715
178	0.3545471886	0.8190581812
179	0.3545168444	0.8190581812
180	0.3544764621	0.8190581812
181	0.3544189225	0.819100836
182	0.3543684424	0.819100836
183	0.3543229974	0.8191434909
184	0.3542629304	0.8192288005
185	0.3542319407	0.8191861457
186	0.3541756872	0.8192714554
187	0.3541284345	0.8193141102
188	0.3540704856	0.8192288005
189	0.3539861738	0.8193994199
190	0.3539660875	0.8192714554
191	0.3539257075	0.8191861457
192	0.3538792226	0.8192288005
193	0.3538454913	0.8192288005
194	0.3538225489	0.8192288005
195	0.353750683	0.8193994199
196	0.3537188616	0.8194420747
197	0.3536947395	0.8194847296
198	0.3536497317	0.8194420747
199	0.3536222524	0.8194847296
200	0.3535685571	0.8194847296
201	0.3535171334	0.8194847296
202	0.3534641209	0.8194847296
203	0.3534257029	0.8195700392
204	0.3533979618	0.8195700392
205	0.3533401185	0.8195700392
206	0.3533106186	0.8195700392
207	0.353281188	0.8195700392
208	0.3532243526	0.8195273844
209	0.353143758	0.8195273844
210	0.353091562	0.8196126941
211	0.3530465942	0.8196980038
212	0.3529959205	0.8197406586
213	0.3529540263	0.8199112779
214	0.3529152638	0.8198259683
215	0.3528739288	0.8199112779
216	0.3528278798	0.8198686231
217	0.3527868626	0.8198259683
218	0.3527276871	0.8198686231
219	0.3526536294	0.8199112779
220	0.3525769494	0.8199965876
221	0.3525441004	0.8199965876
222	0.3525009045	0.820167207
223	0.3524610203	0.820167207
224	0.3524277372	0.8201245521
225	0.3523784358	0.8202525166
226	0.3523363693	0.8202951715
227	0.3523236643	0.8202951715
228	0.3522963263	0.8202951715
229	0.3522539808	0.8202525166
230	0.3522034576	0.8202525166
231	0.3521630874	0.820167207
232	0.3521320665	0.8202098618
233	0.3520709109	0.8203378263
234	0.3520341422	0.8202098618
235	0.3520182229	0.8202098618
236	0.3519751395	0.8202098618
237	0.3519171369	0.8205084457
