iter	Passed	Remaining
0	61	61715
1	74	37114
2	85	28540
3	98	24438
4	110	22038
5	123	20419
6	135	19190
7	152	18964
8	168	18512
9	175	17369
10	181	16352
11	188	15484
12	212	16098
13	226	15936
14	236	15508
15	244	15013
16	255	14751
17	269	14715
18	280	14457
19	288	14124
20	295	13771
21	302	13429
22	308	13091
23	317	12904
24	331	12938
25	342	12813
26	350	12632
27	357	12418
28	364	12190
29	371	12026
30	384	12008
31	396	12007
32	406	11910
33	427	12144
34	446	12314
35	471	12635
36	480	12513
37	488	12369
38	495	12213
39	501	12045
40	509	11918
41	524	11968
42	535	11915
43	544	11822
44	551	11706
45	558	11578
46	564	11445
47	576	11430
48	589	11450
49	600	11401
50	608	11321
51	615	11220
52	623	11146
53	659	11554
54	671	11535
55	680	11475
56	687	11378
57	700	11384
58	719	11469
59	730	11447
60	739	11388
61	747	11315
62	755	11230
63	761	11138
64	777	11178
65	789	11168
66	798	11121
67	806	11058
68	814	10986
69	821	10912
70	835	10926
71	848	10941
72	858	10905
73	867	10859
74	902	11132
75	926	11263
76	949	11378
77	968	11452
78	980	11426
79	988	11371
80	997	11312
81	1004	11245
82	1022	11301
83	1035	11297
84	1045	11257
85	1053	11201
86	1062	11146
87	1068	11075
88	1085	11113
89	1105	11182
90	1115	11144
91	1123	11083
92	1131	11037
93	1154	11126
94	1168	11126
95	1176	11075
96	1183	11015
97	1189	10949
98	1197	10898
99	1211	10906
100	1223	10888
101	1232	10848
102	1240	10800
103	1247	10746
104	1253	10687
105	1283	10827
106	1308	10917
107	1318	10888
108	1359	11108
109	1443	11681
110	1481	11867
111	1504	11929
112	1541	12101
113	1554	12079
114	1564	12039
115	1579	12036
116	1590	12002
117	1599	11956
118	1607	11898
119	1614	11837
120	1620	11772
121	1633	11758
122	1646	11742
123	1656	11702
124	1663	11642
125	1670	11586
126	1676	11527
127	1683	11466
128	1695	11450
129	1712	11457
130	1721	11416
131	1736	11419
132	1744	11372
133	1758	11362
134	1770	11346
135	1780	11309
136	1788	11264
137	1795	11213
138	1801	11158
139	1809	11114
140	1825	11118
141	1835	11093
142	1845	11057
143	1852	11013
144	1859	10965
145	1865	10913
146	1879	10907
147	1893	10897
148	1902	10867
149	1914	10848
150	1931	10859
151	1955	10910
152	1967	10891
153	1976	10857
154	1984	10817
155	1991	10773
156	1997	10725
